ID,FirstYear,LastYear,LEGO,LDraw,BrickLink,BrickOwl
57,1993,2022,"47 ['Tr. Flu. Reddish orange', 'TR.FL.REDORA']",38 ['Trans_Neon_Orange'],18 ['Trans-Neon Orange'],161 ['Transparent Neon Reddish Orange']
484,1979,2022,"38 ['Dark Orange', 'DK.ORA']",484 ['Dark_Orange'],68 ['Dark Orange'],54 ['Dark Orange']
25,1997,2022,"106 ['Bright orange', 'BR.ORANGE']",25 ['Orange'],4 ['Orange'],80 ['Orange']
182,2002,2022,"182 ['Tr. Bright Orange', 'TR. BR. ORANGE']",57 ['Trans_Orange'],98 ['Trans-Orange'],105 ['Transparent Orange']
1052,2020,2020,1018 ['TR.BR:ORA W/GLI'],341 ['Glitter_Trans_Orange'],,
84,2000,2022,"312 ['Medium Nougat', 'M. NOUGAT']",84 ['Medium_Dark_Flesh'],150 ['Medium Nougat'],74 ['Medium Dark Flesh']
86,2002,2006,86 ['BROWN'],86 ['Dark_Flesh'],91 ['Medium Brown'],52 ['Dark Flesh']
178,2002,2007,"1001 ['Gold Metallic', 'MET.SAND.YEL']",178 ['Flat_Dark_Gold'],81 ['Flat Dark Gold'],21 ['Flat Dark Gold']
1021,1963,1963,,,132 ['Mx Brown'],
68,2000,2000,36 ['Light Yellowish Orange'],68 ['Very_Light_Orange'],96 ['Very Light Orange'],91 ['Very Light Orange']
60,2001,2005,,60 ['Chrome_Antique_Brass'],57 ['Chrome Antique Brass'],110 ['Chrome Brass']
78,1997,2022,"283 ['Light Nougat', 'L.NOUGAT']",78 ['Light_Flesh'],90 ['Light Nougat'],65 ['Light Flesh']
28,2001,2022,138 ['Sand yellow'],28 ['Dark_Tan'],69 ['Dark Tan'],57 ['Dark Tan']
1026,1963,1963,,,136 ['Mx Light Orange'],
92,1979,2022,18 ['Nougat'],92 ['Flesh'],28 ['Nougat'],6 ['Flesh']
134,2001,2021,"346 ['Copper Metallic']
139 ['Copper', 'RED. GOLD']
1016 ['COPPER INK']
134 ['COPPER, DR.LA.']",134 ['Copper'],84 ['Copper'],116 ['Copper']
1025,1963,1963,,,135 ['Mx Orange'],
6,1974,2008,"187 ['Sand Yellow Metallic', 'MET. EAR.ORA']
217 ['Brown']
25 ['Earth Orange', 'EARTH-ORA']",6 ['Brown'],8 ['Brown'],46 ['Brown']
1056,2020,2021,"360 ['Transparent Brown with Opalescence', 'Tr. Brown Opal']",,229 ['Satin Trans-Black'],201 ['Transparent Black Opal']
450,1979,1997,12 ['Light Orange Brown'],450 ['Fabuland_Brown'],106 ['Fabuland Brown'],23 ['Fabuland Brown']
70,2000,2022,"192 ['Reddish Brown', 'RED. BROWN']",70 ['Reddish_Brown'],88 ['Reddish Brown'],82 ['Reddish Brown']
12,1997,2004,4 ['Brick Red'],12 ['Salmon'],25 ['Salmon'],84 ['Salmon']
1010,1949,1949,,,,
4,1949,2022,"21 ['Bright red', 'BR.RED']
184 ['Metallic Bright Red', 'MET. BR. RED']","4 ['Red']
184 ['Metallic_Bright_Red']",5 ['Red'],81 ['Red']
36,1969,2022,"41 ['Tr. Red', 'TR.RED']",36 ['Trans_Red'],17 ['Trans-Red'],108 ['Transparent Red']
216,1991,2001,216 ['Rust'],216 ['Rust'],27 ['Rust'],83 ['Rust']
1024,1963,1963,,,130 ['Mx Pink Red'],
320,2001,2022,"154 ['Dark red', 'NEW DARK RED', '10. MULTI']",320 ['Dark_Red'],59 ['Dark Red'],56 ['Dark Red']
1019,1963,1963,,,131 ['Mx Tile Brown'],
1023,1963,1963,,,129 ['Mx Red'],
335,2001,2004,153 ['Sand red'],335 ['Sand_Red'],58 ['Sand Red'],87 ['Sand Red']
100,1997,1999,100 ['Light red'],100 ['Light_Salmon'],26 ['Light Salmon'],5 ['Light Salmon']
77,1994,2007,223 ['Light Pink'],77 ['Light_Pink'],56 ['Light Pink'],68 ['Light Pink']
1017,1963,1963,,,127 ['Mx Tile Gray'],
40,1999,2022,"111 ['Tr. Brown', 'TR.BROWN']",40 ['Trans_Black'],13 ['Trans-Black'],95 ['Transparent Black']
15,1949,2022,1 ['White'],15 ['White'],1 ['White'],92 ['White']
79,1963,2008,20 ['Nature'],79 ['Milky_White'],60 ['Milky White'],130 ['Translucent White']
117,1999,2021,"117 ['Transparent Glitter', 'TR.W.GLITTER']",117 ['Glitter_Trans_Clear'],101 ['Glitter Trans-Clear'],131 ['Transparent Glitter']
1039,1963,1963,,,149 ['Mx Clear'],
47,1954,2022,"40 ['Transparent', 'TR.']",47 ['Trans_Clear'],12 ['Trans-Clear'],97 ['Transparent']
1055,2020,2021,"360 ['Transparent with Opalescence', 'Tr. Opalescence']",360 ['Opal_Trans_Clear'],228 ['Satin White'],193 ['Transparent Opal']
1013,1963,1963,,,123 ['Mx White'],
183,2003,2006,"183 ['Metallic White', 'MET. WHITE']",183 ['Pearl_White'],83 ['Pearl White'],123 ['Pearlescent']
151,2000,2013,"208 ['Light stone grey', 'LGH. ST. GREY']",151 ['Very_Light_Bluish_Gray'],99 ['Very Light Bluish Gray'],90 ['Light Stone Gray']
383,1977,2018,309 ['Metalized Silver'],383 ['Chrome_Silver'],22 ['Chrome Silver'],115 ['Chrome Silver']
1000,2004,2022,329 ['WHITE GLOW'],329 ['Glow_In_Dark_White'],159 ['Glow in Dark White'],129 ['Glow in the Dark White']
150,2002,2003,,150 ['Pearl_Very_Light_Grey'],119 ['Pearl Very Light Gray'],27 ['Pearl Very Light Gray']
71,2002,2022,"194 ['Medium stone grey', 'MED. ST-GREY']",71 ['Light_Bluish_Gray'],86 ['Light Bluish Gray'],64 ['Medium Stone Gray']
1015,1963,1963,,,125 ['Mx Light Gray'],
179,1998,2022,"315 ['Silver Metallic', 'SILVER MET.']",179 ['Flat_Silver'],95 ['Flat Silver'],117 ['Flat Silver']
72,2002,2022,"199 ['Dark stone grey', 'DK. ST. GREY']",72 ['Dark_Bluish_Gray'],85 ['Dark Bluish Gray'],50 ['Dark Stone Gray']
76,2006,2006,,76 ['Speckle_Dark_Bluish_Gray_Silver'],117 ['Speckle DBGray-Silver'],134 ['Speckle Gray']
148,2001,2022,"316 ['Titanium Metallic', 'TITAN. METAL.']
148 ['Mettalic Dark Grey', 'MET.DK.GREY']","83 ['Metallic_Black']
148 ['Pearl_Dark_Gray']
87 ['Metallic_Dark_Gray']",77 ['Pearl Dark Gray'],119 ['Pearl Dark Gray']
